RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
1677697920261-50;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;tener seriedad en los procesos, las personas son irresponsables;CLARIDAD INFORMACION
1677697325557-44;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;*cada rato llama que no se a podido , que faltan firmas que no se que ,;CLARIDAD INFORMACION
1671211324352-32;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ninguno;SIN COMENTARIO
1678121823430-50;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;*muy malo *tiene que arreglar los procesos *si tiene la facilidad para captar clientes,que tambien sea facil salir del proceso, todo es importante tanto el ingreso como el retiro y la nacionalizacion;INCONFORMIDAD SERVICIO
Pol-8071657;DETRACTOR;Poderes Leasing;CLASICO;El no poder para pagar el predial le falta informacion y el asesor no fue claro con lo que requeria para hacer el proceso incluyendo el asesor de la oficina fisica Davivienda mayorca;CLARIDAD INFORMACION
1-34489464501;DETRACTOR;Copia De Documentos Cartera;CLASICO;Pesimo servicio,negligencia por parte del banco y sus empleados, no tramitan con claridad,hacen los procesos muy tediosos para beneficio del mismo banco , no he tenido solucion ya llevo mas de un mes en esto por eso toda mi calificacion;INCONFORMIDAD SERVICIO
1678303298888-32;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;*el traspaso es muy complicado pague el ano pasado *mucho tropiezo en el proceso;INCONFORMIDAD SERVICIO
Ces-8357582;DETRACTOR;Certificaciones Especiales;CLASICO;Hola tengo un tramite de traspaso de un vehiculo por medio de lising y esta muy demorado;OTRO
Ces-9431477;DETRACTOR;Certificaciones Especiales;CLASICO;No se tuvo una buena comunicacion con la asesora y la informacion antes de radicar no fue confirmada y las condiciones para realizar cambios.;CLARIDAD INFORMACION
1676041530332-19;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Cajero muy despectivo, habla pasito, no se le entiende y tampoco tiene paciencia con los clientes .;OTRO
1676041530332-19;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Cajero muy despectivo, habla pasito, no se le entiende y tampoco tiene paciencia con los clientes .;OTRO
Ces-19301842;DETRACTOR;Certificaciones Especiales;CLASICO;No resolvieron el inconveniente de tanta llamadas que hacen diciendo que me comunique con Davivienda y no me resuelven nada;INCONFORMIDAD SERVICIO
Ces-1032428066;DETRACTOR;Certificaciones Especiales;CLASICO;Son una porqueria;INCONFORMIDAD SERVICIO
Ces-1036628659;DETRACTOR;Certificaciones Especiales;CLASICO;Me toco ir hasta una sucursal para actualizar datos los podria actualizar por pagina y asesora de la Linea subia en tono de voz y no fue muy clara con la informacion;OTRO
1679424527688-31;DETRACTOR;Poderes Leasing;PREMIUM;La asesora no contesta, se le envia ensaje por chat y no informa. Requiero un credito de credito nstruccion y no he recibido informacion que realmente me oriente;OTRO
Ces-43756977;DETRACTOR;Certificaciones Especiales;INCLUSION;Me siento muy triste ya que me cobraron unos seguros durante el tiempo de pandemia y en vez de diferirlo en las ultimas cuotas lo mandaron todo de una y como no tenia el dinero para cancelar de una ves hasta lo ultimo termine en mora y pagando unas tasas altisimas. Muy desepcionada quede con ustedes.;OTRO
Pol-72357102;DETRACTOR;Poderes Leasing;CLASICO;Envian poder en marzo con fecha de febrero Al solicitar Nuevo con fecha de marzo solo le colocan 1 matricula Me quedan de enviar uno nuevo con las 2 matriculas y entrega en 24 horas y no lo he recibido;FALTA DE RESPUESTA
1678720733953-38;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Falta de informacion del asesor y se demora mas de 1 mes para hacer el levantamiento de prenda;CLARIDAD INFORMACION
Ces-80829292;DETRACTOR;Certificaciones Especiales;INCLUSION;Que lastima que uno como cliente quiera generar un acuerdo de pago y sea tan complicada la comunicacion;OTRO
1678915556271-93;DETRACTOR;Levantamiento De Hipoteca;CLASICO;El colmo que una solicitud hecha desde octubre de 2022 , a los 5 meses se haya perfeccionado , Ademas el valor cobrado por si gastos notariales, supera los anotados en el cuerpo de la escritura de cancelacion , casi el doble ,;INCONFORMIDAD SERVICIO
Ces-79846387;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Enganan los clientes ,, me quedaron de enviar una certificacion y nunca lo hicieron ,,,;ENTREGA DOCUMENTOS
Ces-1000362261;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NEFASTOS;INCONFORMIDAD SERVICIO
Ces-1113685003;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me bloquearon la tarjeta, no pude pagar el credito, trate mil veces pagar por pse y no me permitio, y por telefono las chicas muy amables pero me transferian a cartera y se cortaba;OTRO
Ces-16859033;DETRACTOR;Certificaciones Especiales;CLASICO;La peor targeta de credito que he tenido, Como es posible que el dia 21 de Febrero de este ano me acerque al banco davivienda y cancele toda la targeta de credito terminada en 8219 y me dice la funcionaria que ya quedaba en paz y salvo, Y que despues eel pago, Llamara a los tres dias para el paz y salvo, y me llega que todavia sigo debiendo, Lo peor,;OTRO
Ces-42675324;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;La chica que me atendio en Copacabana, no me gusto su atencion, parecia motilando locos;OTRO
Ces-53062968;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Los conceptos de los asesores no estan unificados;CLARIDAD INFORMACION
Ces-70812903;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Buenas tardes que son ineglijente con el cliente;INCONFORMIDAD SERVICIO
Ces-79457541;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Retirarme de ser cliente de davivienda;INCONFORMIDAD SERVICIO
1680018022222-02;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Muy PesimalAtencion;INCONFORMIDAD SERVICIO
1680561482678-51;DETRACTOR;Copia De Documentos Cartera;PREMIUM;El colmo que me cambiaron mis condiciones del credito;OTRO
1679951727492-45;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Na;SIN COMENTARIO
Ces-1010199049;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;Nunca me llego la certificacion solicitada,;ENTREGA DOCUMENTOS
Ces-1110487352;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Los asesores se demoran extremadamente bastante, Si el problema es el aplicativo que manejan que los hace demorarse, entonces no se les cae nada estarle escribiendo al usuario a decirle que siga esperando en linea y que pronto se conectaran, Pero lo dejan a uno ahi esperando hasta 19 o 15 minutos en silencio absoluto, Falta de respeto;OTRO
1-33449895173;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;Aun no me llega copia de la escritura me dijeron que llegaba por correo nunca llego;ENTREGA DOCUMENTOS
Ces-19418109;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Muy complicado para comunicarse via telefonica, Demasiadas filas si asiste por presencial ,;OTRO
1681157687190-83;DETRACTOR;Copia De Documentos Cartera;CLASICO;Desde agosto del ano pasado, estoy solicitando la poliza de los creditos q tengo con ustedes, la declaracion de asegurabilidad firmada por mi, y ha sido imposible, Ni por Correo, ni telefono, ni WhatsApp, ni presencial en el banco, no he podido q me manden estos documentos los cuales ya se volvieron super urgentes, Les agradeceria mucho me ayuden con eso,;ENTREGA DOCUMENTOS
Ces-7548179;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;La atencion por parte de la senorita excelente, pero la solucion no se da y al final le cortan la llamada Supuestamente le devuelven la llamada en caso de cortarce pero nunca pasa Y de repeso le pasan de un lado a otro pero ninguno da solucion Seria bueno que lo atendieran en una oficina En general el servio no es tan bueno;OTRO
Ces-80250165;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Perdi mis documentos, deberian tener en cue ya estos aspectos para mi reputacion financiera condorme a mis pagos oportunos;OTRO
Ces-88165068;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Muy mala experiencia;INCONFORMIDAD SERVICIO
Ces-93136925;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No lo he recibido y marco y no me responden;ENTREGA DOCUMENTOS
1679590950635-51;DETRACTOR;Copia De Documentos Cartera;CLASICO;La respuesta de Davivienda no corresponde 100% con mi solicitud, Por consiguiente tendre que recurrir a la Superintendencia Financiera de Colombia para que el banco me brinde la informacion solicitada,;INCONFORMIDAD SERVICIO
Ces-1075230314;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Tengo pendiente el pago de un credito y ha sido imposible que me den el numero, disque porque no tengo registrado el correo, y los asesores no estan autorizados para registrar el correo, la unica solucion es ir a una oficina presencial pero no puedo ir porque trabajo todo el dia y no logro tener permiso, Gracias;INCONFORMIDAD SERVICIO
Pol-1098754811;DETRACTOR;Poderes Leasing Call Center;PREMIUM;La asesora no se detuvo a revisar ni escuchar realmente lo que le estaba consultando;OTRO
1678379360763-98;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Habiliten una linea donde las personas que no son clientes se puedan comunicar de manera facil o por la pagina web,;INCONFORMIDAD SERVICIO
1677515358669-15;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Davivienda no ha tramitado en el juzgado el cierre del proceso y no he podido levantar la prenda en la SIM, Me perjudicaron porque no he podido vender el auto;INCONFORMIDAD SERVICIO
Ces-79158066;DETRACTOR;Certificaciones Especiales Call Center;BANCA PRIVADA;Call center inoperante;OTRO
Ces-1023886457;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Mala atenciones;OTRO
Ces-1128424993;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Muy demorados y retrogrados con el sistema, Incluso retrasados con la entrega de tarjetas de credito, Hace un mes estoy esperando una,;OTRO
Ces-19072848;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No ayudan a los clientes a resolver los inconvenientes que se presentan, solo importa el banco y no el cliente siendo su principal activo,;INCONFORMIDAD SERVICIO
Ces-3771148;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me saludan dando mi nombre correctamente y luego en la certificacion que expiden no hay absolutamente nada de parecido en el nombre que escriben;ENTREGA DOCUMENTOS
Ces-19072848;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No entiendo como los funcionarios del banco no dan solucion a los inconvenientes que se le presenta al cliente si el mayor activo son sus cliente, lo que demuestra que los empleados trabajan solo por el sueldo y no por servir,;INCONFORMIDAD SERVICIO
Ces-1035852762;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Fue necesario recurrir a Twitter que es un medio completamente impersonal para resolver una solicitud que me habian indicado en oficina que se podia resolver por web, app o telefono rojo, los cuales no funcionaron;INCONFORMIDAD SERVICIO
Ces-1074130403;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No hay como comunicarse con alguien para resolver solicitudes. Si uno no tiene tarjeta no le atienden;OTRO
Ces-1096255016;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Fue muy dificil realizar el pago. La aplicacion, al menos mientras intentamos usarla para registrarnos fue completamente inutil y no nos permitio registrarnos para realizar el pago por ahi, se caia cada rato, aceptaba la toma de fotos (cedula y rostro) y luego aparecia como si no. Los agentes por telefono y en el mismo banco no nos ayudaron a resolver el inconveniente y cuando por fin logramos entrar al punto de pago pedia el numero completo de tarjeta, la cual aun NO habia llegado. Terrible experiencia.;OTRO
1679085139387-20;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Davivienda es lo peor que me ha pasado, hablando de bancos;INCONFORMIDAD SERVICIO
1679584399228-35;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Me dicen que la escritura ya esta lista pero nunca me enviaron nada, tampoco el certificado de libertad y tradicion;CLARIDAD INFORMACION
Ces-52103711;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Falta de conocimiento en los productos, mucha demora par dar respuesta, de 2 horas y al final me recomiendan ir a una oficina personalmente, muy mal servicio.;OTRO
1672858874109-69;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Al momento de solicitar un apoyo en refencia al estado de tramite, no es oportuna la respuesta por ws, y si son muy apremiantes para legalizar el cobro del proceso, me solicitaron mas dinero posterior al que ya habia dado indicandome que si no lo cancelaba no podia continuar con el tramite, y el valor que estaba pend era por que hora no me indicaron desde un principio el valor a pagar y si me toco pagar un adicional por error de ellos.;CLARIDAD INFORMACION
Ces-1096226091;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;El servicio de seguridad es extremadamente malo, no he recibido respuesta de un robo de dinero de mi tarjeta de credito en 2 meses, y llamo y nadie me da ningun tipo de solucion. Que verguenza de banco.;OTRO
1681242490825-70;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Pesimos;INCONFORMIDAD SERVICIO
Ces-1112466352;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No me dieron la informacion adecuada.;CLARIDAD INFORMACION
1-34721310005;DETRACTOR;Levantamiento De Hipoteca;BANCA PRIVADA;NO;SIN COMENTARIO
1-35101588494;DETRACTOR;Copia De Documentos Cartera;PREMIUM;He solicitado el documento mas de 10 veces y nunca me lo han enviado;ENTREGA DOCUMENTOS
1678897872769-54;DETRACTOR;Levantamiento De Hipoteca;CLASICO;.NO;SIN COMENTARIO
1679599051484-31;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;SE DEMORO MUCHISIMO PARA HACERME EL PROCESO 100 CUADRAS ESO DEMORO DEMASIADO DESDE JUNIO DEL ANO PASADO VENDI LA CASA Y EN FEBRERO DE ESTE ANO APENAS PUDE HACER LAS ESCRITURAS Y TUVE PROBLEMAS CON LAS PERSONAS QUE ME COMPRARON LA CASA;INCONFORMIDAD SERVICIO
1-31762061715;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;mejorar totalmente el proceso;INCONFORMIDAD SERVICIO
1681500649607-53;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;ninguno;SIN COMENTARIO
1-34008264181;DETRACTOR;Levantamiento De Hipoteca;CLASICO;LEVANTE LA PRENDA Y FUI A QUE ME PRESTARAN MAS Y ME DIJERON QUE NO Y ESO NO ME GUSTO;OTRO
1679948056191-00;DETRACTOR;Levantamiento De Hipoteca;CLASICO;no me senti bien atendido cuando yo llegue alla hacer el proceso;INCONFORMIDAD SERVICIO
Ces-50939665;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Todavia sigo Esperando el paz 7 salvos;ENTREGA DOCUMENTOS
Ces-51669782;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me quedaron de enviar un documento 6 no lo recibi;ENTREGA DOCUMENTOS
1675264013641-68;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;CASI DOS MESES HACIENDO EL PROCESO Y LA SOLICITUD PARA QUE ME DIERAN RESPUESTA PERO AL FINAL PERDI EL NEGOCIO QUE REVISEN EL PROCESO PORQUE NO SE COMO MONITOREEN EL CUMPLIMIENTO Y LOS COBROS QUE REALIZA 100 CUADRAS DESDE DAVIVIENDA PORQUE ME MANDAN UNOS PAGOS QUE NO TENGO IDEA DE QUE SON;CLARIDAD INFORMACION
1678377524010-68;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;ningunio;SIN COMENTARIO
Ces-80505176;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Llevo pidiendo mi tarjeta de Credito (plastico) de reposicion hace dos meses, escribiendo innumerables veces al chat davivienda o telefonicamente al telefono rojo, el ultimo compromiso fue que llegaba ayer y nada. Terrible;OTRO
1681848297655-36;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;SIEMPRE TUVE PROBLEMAS POR CULPA DE LA COMUNICACION ELECTRONICA CONMIGO, ME DIERON RESPUESTA TARDE;INCONFORMIDAD SERVICIO
Ces-1013617616;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Pesimo servicio. Entregan informacion erronea y lo hacen incurrir en el error;INCONFORMIDAD SERVICIO
1681828825233-17;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM PLUS;Me pusieron a dar vueltas varias veces y no eran claros;CLARIDAD INFORMACION
Ces-55247007;DETRACTOR;Certificaciones Especiales;CLASICO;Es imposible la comunicacion con un asesor , te responde un robot y nuca se resuelve tu problema;INCONFORMIDAD SERVICIO
1-35307298996;DETRACTOR;Copia De Documentos Cartera;PREMIUM;En realidad es una porqueria el servicio de davivienda, el Supervisor Juan Rios que estaba tomando mi caso por que un agente me tiro el telefono, tambien me colgo y nunca me volvio a llamar. Es un asco su servicio, aparte necesito urgente la copia del contrato de mi leasing y a nadie se le ha dado la gana de enviarmelo, me envian una pagina que no se de que es. Que lastima que asi sea el servicio en colombia y nadie quiere mejorar. Necesito de escale esto a sus directores de servicio y espero tener una respuesta pronto;OTRO
Ces-13715515;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;Me dejan en espera y se corto la llamada 2 veces ya no confio en el banco;OTRO
Ces-1045694223;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Pesimo servicio llevo un mes esperando el cambio de mu tarjeta de credito, que llevo como 6 anos siendo su cliente, estoy tramitando otra tc con otro banco, pienso cancelar mi tarjeta de credito con ustedes;OTRO
Ces-94468562;DETRACTOR;Certificaciones Especiales;INCLUSION;Da tristeza porque nunca resuelven lo que uno necesita... Yo pedi un extracto de deuda y nunca me llego;OTRO
Ces-1022411755;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No contestan nada mientras a uno lo pueden estar robando;OTRO
Ces-1038547009;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Solicite 2 veces tarjeta de credito que nunca llevaron a mi domicilio, no se comunicaron conmigo. He llamado 2 veces solicitando un paz y salvo que a la fecha no me ha llegado.;OTRO
Ces-1098603182;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Espere 40 minutos y no atendieron a uno solo de los clientes q se encontraba en la sala de asesoria;OTRO
Ces-1099202522;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Mal banco. Mala atencion tanto presencial como virtual. Mentiras en las oferta. Ladrones;OTRO
1-35304937778;DETRACTOR;Copia De Documentos Cartera;PREMIUM;Hoy se volvio un banco de maquinas, donde solo unas ninas de un callcenter, que lo unico que tiene son unos formatos establecidos sin capacidad de respuesta, es con lo que los clientes podemos hablar. Nunca se puede hablar con nadie diferente porque es prohibido, que decepcion que bueno era cuando uno podia encontrar a alguien que lo atendiera y le pudiera resolver. No la respuesta de ahora vamos a realizar su peticion y espere 15 dias habiles la respuesta en su correo;OTRO
Ces-31308826;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No me ha llegado la tarjeta solicitada, llamo y me dice que debe ser por la plataforma, lo hago pero la plataforma solicita los numeros de la tarjeta y no lo tengo. Vuelvo y llamo y me envian un certificado pero ahora la clave esta bloqueada, me dicen que en 15 minutos lo activan, ha pasado 3 dias y nada.;OTRO
Ces-63524043;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No me resolvieron mi situacion, no puedo acceder a la app y tampoco al portal;OTRO
1-35456213861;DETRACTOR;Poderes Leasing;PREMIUM PLUS;Es una falta de respeto con el cliente cuando las solicitudes no se resuelven por que ni siquiera saben como funciona el Banco.... El pago de impuesto predial, y los montos de los Credito que se incrementan sin razon dan a pensar que le estan robando a uno ... y cuando uno llama a que le den explicaciones , no las tienen ... con quien puedo hablar ?;INCONFORMIDAD SERVICIO
Ces-1014269602;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Hace mas de un mes debia llegarme la tarjeta de credito y nunca solucionan Los encargados de entregarlas deberian de llamar si mo encuentran la ubicacion o intentar contactar al cliente Demasiado pesimo;OTRO
1680613919594-25;DETRACTOR;Certificaciones Especiales;CLASICO;Me siento muy inconforme ya que y estoy paz y salvo con el banco y me sigue descontando sin autorizacion mia espero que ya que para este sueldo de mayo no me aparezca el descuento en mi nomina de pago ya que estoy paz y salvo con ustedes;OTRO
Ces-1099202522;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Mal services en general. Telefonico y presencial. Es un banco enganoso y ladron;INCONFORMIDAD SERVICIO
1682613829829-75;DETRACTOR;Poderes Leasing;PREMIUM;Fatal pesima y mal intencionada fue la atencion;INCONFORMIDAD SERVICIO
1-35080399499;DETRACTOR;Levantamiento De Hipoteca;CLASICO;SERVICIO AL CLIENTE DEFICIENTE ME BLOQUEAN MIS RECURSOS POR UNA SERIE DE ALERTAS DE MONITOREO QUE NO TIENEN SENTIDO Y LO QUE HACEN ES DETERIORAR EL SERVICIO. LAS PERSONAS QUE ATIENDEN EN EL CALL CENTER NO TIENEN NI LA MAS MINIMA IDEA DE SOLUCIONAR LAS DIFICULTADES QUE USTEDES LE OCASIONAN A LOS CLIENTES.;OTRO
Ces-79242336;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Necesito pagar mi tarjeta de credito y no tengo el # de la.misma para hacerlo por PSE...quedaron de enviar correo con esa informacion y nunca llego...ahora me toca gastarme medio dia para hacer el tramite fisicamente en oficina;ENTREGA DOCUMENTOS
Pol-79780838;DETRACTOR;Poderes Leasing Call Center;PREMIUM;Mal servicio!!;INCONFORMIDAD SERVICIO
1678742296563-59;DETRACTOR;Copia De Documentos Cartera;CLASICO;Muy pobre..!!! Es practicamentr IMPOSIBLE hablar con Humanos responsables de los procesos que puedan ANALIZAR Y TOMAR DECISIO ES sobre posibles DESVIACUONES A SUS PROCESOS... Eso convierte su organizacion. En una INFLEXIBLE 'CAJA NEGRA'... UN ROBOT MAS...!!!;OTRO
Ces-43455954;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;pesima. llame Al call center y me dicen que no podia Pagar en linea q ue tenia que IR a UNa sucursal fisica. la asesoria tenia pereza de trabajar. me toco volver a llamar y la Ultima que me atendio si me ayudo Bien;OTRO
Ces-72178497;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No le dan veracidad en la informacion. Enganan al cliente;CLARIDAD INFORMACION
1683659776241-87;DETRACTOR;Copia De Documentos Cartera;CLASICO;Muy mala la atencion, me toco ir tres veces , y aun al final me dicen que para cancelar la cuenta de ahorros tenia que volver a la ofina, si ya la cuenta estaba desligada de credito expres... Que nunca utilice, cuando podria realizar la cancelacion por el portal.;OTRO
1-35082636024;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;La informacion muchas veces no fue la indicada mo me daba respuesta a mi inquietud;CLARIDAD INFORMACION
1683234129553-70;DETRACTOR;Poderes Leasing;CLASICO;Aun no me llega la respuesta de mi solicitud al Correo, tengo que ir nuevamente a una oficina, Tengo el correo correcto por que llega los cobros de tarjeta pero la respuesta que estoy esperando sigue sin llegar Es perverso su servicio;ENTREGA DOCUMENTOS
1684430245789-96;DETRACTOR;Poderes Leasing;PREMIUM;Pesimo banco arrepwntido totalmente de sacar mi credito alla;OTRO
1-34955395709;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;No me tomaron en serio desde el Comienzo de la solicitud en la oficina de armenia del centro comercial portal. Tuve que hacer la solicitud tres veces. Fue demorada la entrega del Documento tomo muchisimo mas del tiempo estipulado por Davivienda . No hubo poder humano que me diera informacion sobre el Proceso ni personalmente en oficina, ni por el call Center, ni por internet. Fue un misterio saber que empresa de mensajeria se encargaba del transporte del documento. En oficina consultaron un experto que igual que el resto de medios de informacion no sabian donde estaban parados. En resumidas cuentas parecia que la informacion requerida fue secreto de estado de la Cia o la Kgb;ENTREGA DOCUMENTOS
1679933743397-19;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Hace un mes estoy en el proceso de levantamiento de hipoteca, estoy intentando recibir los papeles de mi vivienda y no me dan solucion alguna;INCONFORMIDAD SERVICIO
Ces-52298517;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;La tarjeta de mango nunca fue entregada y me llega mensaje que ya la recibi. Me programaron varias citas para la entrega del plastico y nunca cumplieron. Voy a solicitar la cancelacion de ese producto por incumplidos;OTRO
Ces-52353775;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Enviaron un certificado con mi cedula con otro nombre para un paz y salvo de una tarejta que no han cancelado aun;ENTREGA DOCUMENTOS
Ces-1015430200;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Necesito Paz y Salvo y nunca me lo dieron!!! Le maman gallo ... no tienen respeto por los clientes!!!;INCONFORMIDAD SERVICIO
Ces-1055332533;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Mala;OTRO
1-31567577062;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;ME TOCO LLAMAR MUCHAS VECES NO ME DABAN RESPUESTA EN EL BANCO NI POR LLAMADA FUE MUY DEMORADO TRABAJAN CON UN 100 CUADRAS Y ME TOCO ESTARLES ROGANDO PARA QUE ME MANDARAN ALGO, NOSOTROS MANDAR LOS PAPELES DOBLEMENTE;INCONFORMIDAD SERVICIO
1-35202823550;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;ninguno;SIN COMENTARIO
1-30913343413;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;*incumplieon los terminos *deben ser mas cumplidos en los plazos *mas acompanamiento con el cliente;INCONFORMIDAD SERVICIO
1669847956591-64;DETRACTOR;Levantamiento De Hipoteca;CLASICO;TUVE QUE TERMINAR DE RESOLVER LA SITUACION Y ME HICIERON PAGAR MAS DE LO QUE ERA PORQUE LA ABOGADA DE LA ENTIDAD SE EQUIVOCO * QUE LOS TRAMITES LO HAGAN EN LA CIUDAD DONDE UNO RESIDE PORQUE YO TENGO EL PREDIO EN NEIVA Y TODO LO HICIERON DESDE BOGOTA ENTONCES SOLO SE PODIA POR LLAMADAS O CORREOS Y SE PRESENTARON MUCHOS INCONVENIENTES;INCONFORMIDAD SERVICIO
1-34778572163;DETRACTOR;Levantamiento De Hipoteca;CLASICO;no tengo mi escritura en fisico despues de pagar un dinero;ENTREGA DOCUMENTOS
1677782357218-82;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*deben ser mas claros en la informacion brindada.;CLARIDAD INFORMACION
1660772449169-79;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;*al principio me fue muy bien pero a lo ultimo me dijeron sola y no tuve un am ujy buen experiencia;INCONFORMIDAD SERVICIO
1654127617379-73;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;*muy lento el proceso ,muy complicados los procesos;INCONFORMIDAD SERVICIO
1-34055975720;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;no tuve una buena experiencia despues de tres meses me indicaron que se realizaba el levantamiento de hipoteca;FALTA DE RESPUESTA
Ces-79507729;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No me han resuelto mi solicitud dificil comunicacion y en las oficinas mala atencion pesimay;INCONFORMIDAD SERVICIO
1-35196776410;DETRACTOR;Levantamiento De Hipoteca;CLASICO;no se en que proceso esta el tramite;FALTA DE RESPUESTA
1682111879189-24;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME ENVIARON LAS ESCRITURAS PERO ESTA CORTADA UNA HOJA EN LA PARTE DERECHA SUGIERO QUE EN DAVIVIENDA DEBERIAN HABER POR LO MENOS UN ASESOR QUE TENGA CLARA LA INFORMACION Y ESTE PENDIENTE DE EL PROCESO PORQUE CON 100 CUADRAS TODO FUE EXCELENTE PERO A DAVIVIENDA SI LE FALTA INFORMACION;INCONFORMIDAD SERVICIO
1664387397707-91;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;*creo que con la calificacion es mas que suficiente es una atencion pesima;INCONFORMIDAD SERVICIO
1-31952488967;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;NO;SIN COMENTARIO
1664395277899-85;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;tuve una mala experiencia con 100 cuadras y davivienda porque nunca nos respondieron sobre el proceso y nos toco pagar otros dineros adicionales por vencimiento de plazos;INCONFORMIDAD SERVICIO
1-35146158568;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*la comunicacion no e sla mejor,todo es por medio de correos no mas;CLARIDAD INFORMACION
