RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION;f
1693849025164-34;DETRACTOR;Poderes Leasing;CLASICO;Mala atencion porque no le enviaron el documento;FALTA DE RESPUESTA;48
Ces-1030614144;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Muy pesima informacion de parte de sus operarios;CLARIDAD INFORMACION;48
Ces-98547824;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;La respuesta a la solicitud no fue la solicitada;CLARIDAD INFORMACION;48
CES-1038819054;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME HA LLEGADO EL PRODUCTO HACE MAS DE 15 DIAS;OTRO;48
CES-1026270473;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;AUN ME ENCUENTRO A LA ESPERA DE MI PAZ  Y SALVO.;OTRO;48
1701718523333-66;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;MEJORAR LOS TIEMPOS DE RESPUESTA DE LA SOLICITUD;INCONFORMIDAD SERVICIO;48
1693849025164-34;DETRACTOR;Poderes Leasing;CLASICO;no mala porque atencion le enviaron el documento;FALTA DE RESPUESTA;48
Ces-1030614144;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;sus pesima informacion de operarios de muy parte;CLARIDAD INFORMACION;48
Ces-98547824;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;la respuesta a la solicitada no fue la solicitud;CLARIDAD INFORMACION;48
Ces-1061802686;DETRACTOR;Certificaciones Especiales;CLASICO;Los documentos llegaron doblados y en mal estado.;ENTREGA DOCUMENTOS;49
Ces-35514776;DETRACTOR;Certificaciones Especiales;PREMIUM;No me dieron ni solucion ni explicacion coherente;FALTA DE RESPUESTA;49
Ces-53062968;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Los conceptos de los asesores no estan unificados;CLARIDAD INFORMACION;49
Ces-51669782;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Me quedaron de enviar un documento 6 no lo recibi;ENTREGA DOCUMENTOS;49
1677782357218-82;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*deben ser mas claros en la informacion brindada.;CLARIDAD INFORMACION;49
CES-1090519611;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME DAN UNAS SOLUCION NI ME AYUDAN A SOLUCIONAR;OTRO;49
CES-1098776493;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMA EXPERIENCIA CON DAVIVIENDA. EL PEOR BANCO.;OTRO;49
CES-1004548986;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;VERIFICAR LA INFORMACION NO FUE CLARA NI LA MISMA;CLARIDAD INFORMACION;49
Ces-1061802686;DETRACTOR;Certificaciones Especiales;CLASICO;los documentos mal doblados y en llegaron estado.;ENTREGA DOCUMENTOS;49
Ces-35514776;DETRACTOR;Certificaciones Especiales;PREMIUM;no me solucion ni dieron ni explicacion coherente;FALTA DE RESPUESTA;49
Ces-53062968;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;unificados conceptos de los asesores no estan los;CLARIDAD INFORMACION;49
Ces-51669782;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;me no de enviar un 6 quedaron documento lo recibi;ENTREGA DOCUMENTOS;49
1677782357218-82;DETRACTOR;Levantamiento De Hipoteca;CLASICO;mas ser la claros *deben en informacion brindada.;CLARIDAD INFORMACION;49
CES-1004548986;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;verificar la informacion no clara fue ni la misma;CLARIDAD INFORMACION;49
1666961162113-18;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Banco Davivienda. Pesimo. No lo recomiendo a nadie;INCONFORMIDAD SERVICIO;50
1681769409114-94;DETRACTOR;Certificaciones Especiales;CLASICO;Proximamente me retiro completamente de este banco;INCONFORMIDAD SERVICIO;50
1712777576934-28;DETRACTOR;Certificaciones Especiales;CLASICO;DIME ENVIAN INFORMACION INCOMPLETA A LA SOLICITADA;CLARIDAD INFORMACION;50
CES-52024823;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM PLUS;AUN NO SE HA RESUELTO POR QUE ENVIAN ESTA ENCUESTA;CLARIDAD INFORMACION;50
1712777576934-28;DETRACTOR;Certificaciones Especiales;CLASICO;dime envian informacion solicitada a la incompleta;CLARIDAD INFORMACION;50
CES-52024823;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM PLUS;encuesta no se que aun por ha envian esta resuelto;CLARIDAD INFORMACION;50
1-32486202033;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;Si es el documento de copia se contrato leasing mal;ENTREGA DOCUMENTOS;51
1672062944966-19;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;ser mas claros al momento de brindar la informacion;CLARIDAD INFORMACION;51
1654127617379-73;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;*muy lento el proceso ,muy complicados los procesos;INCONFORMIDAD SERVICIO;51
1686931760893-01;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*me toco pegarme a llamar y llamar, son super malos;INCONFORMIDAD SERVICIO;51
1695056917792-22;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME TOCO LEVANTAR TUTELA PARA QUE ME LA RESPONDIERAN;INCONFORMIDAD SERVICIO;51
1707153665436-49;DETRACTOR;Certificaciones Especiales;CLASICO;NO HAY NINGUNA SOLUCION, YA BUSCARE COMO SOLUCIONAR;FALTA DE RESPUESTA;51
1716222667880-88;DETRACTOR;Certificaciones Especiales;CLASICO;EL CERTIFICADO QUE ME ENVIARON NO FUE EL SOLICITADO;CLARIDAD INFORMACION;51
1-42311760159;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;UNA DEMORA TERRIBLE PARA ESO CASI PIERDO EL NEGOCIO;DEMORA TRAMITE;51
1-32486202033;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;si es documento copia de contrato se el leasing mal;ENTREGA DOCUMENTOS;51
1707153665436-49;DETRACTOR;Certificaciones Especiales;CLASICO;solucionar hay ninguna ya no buscare como solucion,;FALTA DE RESPUESTA;51
1716222667880-88;DETRACTOR;Certificaciones Especiales;CLASICO;el certificado que el enviaron no me fue solicitado;CLARIDAD INFORMACION;51
1-42311760159;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;una terrible demora para pierdo casi eso el negocio;DEMORA TRAMITE;51
Ces-24336011;DETRACTOR;Certificaciones Especiales;CLASICO;La gente no sabe dar respuesta y super mala atencion;CLARIDAD INFORMACION;52
Ces-76324367;DETRACTOR;Certificaciones Especiales;CLASICO;El sercicio, es muy malo, por chat no resuelven nada;INCONFORMIDAD SERVICIO;52
1679500933772-54;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Nunca recibi el documento de levantamiento de prenda;ENTREGA DOCUMENTOS;52
POL-80244388;DETRACTOR;Poderes Leasing Call Center;PREMIUM;MEJORAR LOS TIEMPO DE ESPERA, QUE SEA TODO MAS FACIL;DEMORA TRAMITE;52
01-98629605-2900;DETRACTOR;Poderes Leasing;CLASICO;QUE HAGAN LO QUE LES CORRESPONDE QUE NO LO HAN HECHO;INCONFORMIDAD SERVICIO;52
1679500933772-54;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;nunca recibi el de documento levantamiento de prenda;ENTREGA DOCUMENTOS;52
POL-80244388;DETRACTOR;Poderes Leasing Call Center;PREMIUM;mejorar mas tiempo espera, facil que sea todo de los;DEMORA TRAMITE;52
1680561482678-51;DETRACTOR;Copia De Documentos Cartera;PREMIUM;El colmo que me cambiaron mis condiciones del credito;OTRO;53
Ces-55228978;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No dieron respuesta y me colgaron 3 veces la llamada.;INCONFORMIDAD SERVICIO;53
1-34955218930;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;todo es muy virtual, no tiene uno como resolver dudas;INCONFORMIDAD SERVICIO;53
CES-59829595;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;EL TELEFONO SUMINISTRADO PARA ATENCION NUNCA FUNCIONA;FALTA DE RESPUESTA;53
1-42819927927;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;PEDI ESOS PAPELES HACE BASTANTE TIEMPO Y NUNCA LLEGO.;DEMORA TRAMITE;53
1-42792582539;DETRACTOR;Copia De Documentos Cartera;PREMIUM;QUE SEAN CLAROS CUANDO ENVIAN LA RESPUESTA POR CORREO;CLARIDAD INFORMACION;53
1-43009024458;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);PREMIUM;QUE DILATARON UNA SOLICITUD QUE HICE HACE MES Y MEDIO;DEMORA TRAMITE;53
1-44092573200;DETRACTOR;Copia De Documentos Cartera;CLASICO;SE LLAMO 5 VECES Y NO SE CUMPLIO CON EL REQUERIMIENTO;FALTA DE RESPUESTA;53
1-44671584019;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;AUN NO LLEGA LOS DOCUMENTOS NUNCA ME DIERON RESPUESTA;FALTA DE RESPUESTA;53
CES-59829595;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;el telefono suministrado para atencion nunca funciona;FALTA DE RESPUESTA;53
1-42819927927;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;pedi y papeles hace bastante tiempo esos nunca llego.;DEMORA TRAMITE;53
1-42792582539;DETRACTOR;Copia De Documentos Cartera;PREMIUM;por sean claros cuando envian la que respuesta correo;CLARIDAD INFORMACION;53
1-43009024458;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);PREMIUM;que dilataron una mes que medio hace solicitud y hice;DEMORA TRAMITE;53
1-44092573200;DETRACTOR;Copia De Documentos Cartera;CLASICO;se llamo cumplio veces y no se 5 con el requerimiento;FALTA DE RESPUESTA;53
1-44671584019;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;aun no llega documentos dieron nunca me los respuesta;FALTA DE RESPUESTA;53
1-32222922994;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;*agilizar mas los tramites ,llevo mucho mas de 6 meses;INCONFORMIDAD SERVICIO;54
CES-26725349;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Excelente atencion de parte de la asesora q me atiende;OTRO;54
1700604119243-82;DETRACTOR;Levantamiento De Hipoteca;CLASICO;TODO LO HICE YO SIENDO MUY INSISTENTE CON CIEN CUADRAS;INCONFORMIDAD SERVICIO;54
Ces-52801737;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo mas de 15 dias y aun no me resuelven mi solicitud;FALTA DE RESPUESTA;55
1666293342654-60;DETRACTOR;Levantamiento De Hipoteca;CLASICO;*deberian tener una linea donde uno se pueda comunicar.;INCONFORMIDAD SERVICIO;55
1679413581575-17;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;Muy demorada la atencion, mas de hora y media de espera;OTRO;55
1681828825233-17;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM PLUS;Me pusieron a dar vueltas varias veces y no eran claros;CLARIDAD INFORMACION;55
Ces-1016010212;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No he recibido la informacion requerida en mi solicitud;FALTA DE RESPUESTA;55
1-35838475313;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;CASI PIERDO EL NEGOCIO ,UNO LE TIRABA LA PELOTA AL OTRO;INCONFORMIDAD SERVICIO;55
1-40529385583;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;MUY DEMORADA,TUVE QUE ROGAR MUCHO PARA PODER HACER ESO.;DEMORA TRAMITE;55
1-41274776080;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;NO SON CLAROS EN LOS TIEMPOS NO DAN BIEN LA INFORMACION;CLARIDAD INFORMACION;55
CES-52886473;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL ASESOR FUE AMABLE, PERO LA CERTIFICACION NUNCA LLEGO;ENTREGA DOCUMENTOS;55
1-43140194161;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;SOBRE TODO QUE CAPACITEN A LAS PERSONAS DEL CALL CENTER;CLARIDAD INFORMACION;55
1-43799418996;DETRACTOR;Copia De Documentos Cartera;CLASICO;TUVE UNA EXPERIENCIA MUY NEGATIVA YA QUE LOS ENCARGADOS;INCONFORMIDAD SERVICIO;55
1706130593833-97;DETRACTOR;Levantamiento De Hipoteca;CLASICO;MUY INSATISFECHO LA ATENCION PRESENCIAL COMO LA VIRTUAL;INCONFORMIDAD SERVICIO;55
CES-1073164389;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMO SERVICIO ES LA PRIMERA VEZ QUE ME VA ASI CON UDS;INCONFORMIDAD SERVICIO;55
Ces-52801737;DETRACTOR;Certificaciones Especiales;CLASICO;llevo mi dias 15 mas y aun no me resuelven de solicitud;FALTA DE RESPUESTA;55
1681828825233-17;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM PLUS;me pusieron a dar claros varias veces vueltas no eran y;CLARIDAD INFORMACION;55
Ces-1016010212;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;requerida no recibido la he informacion en mi solicitud;FALTA DE RESPUESTA;55
1-40529385583;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;mucho hacer que rogar demorada,tuve para poder muy eso.;DEMORA TRAMITE;55
1-41274776080;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;no son claros dan en los no tiempos bien la informacion;CLARIDAD INFORMACION;55
CES-52886473;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;el asesor fue amable, pero la certificacion nunca llego;ENTREGA DOCUMENTOS;55
1-43140194161;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;personas todo que sobre a las capaciten del call center;CLARIDAD INFORMACION;55
Ces-1047226711;DETRACTOR;Certificaciones Especiales;CLASICO;Que traten de resolver los inconvenientes a los usuarios;INCONFORMIDAD SERVICIO;56
Ces-1022411755;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No contestan nada mientras a uno lo pueden estar robando;OTRO;56
1-35545534326;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;la fecha noo me a han enviado el nuevo numero de credito;CLARIDAD INFORMACION;56
1-38565194938;DETRACTOR;Copia De Documentos Cartera;PREMIUM;No me ha llegado el documento copia de contrato leasing.;DEMORA TRAMITE;56
1696966209640-42;DETRACTOR;Certificaciones Especiales;CLASICO;MEJORAR COMUNICACION ENTRE ASESORES PARA DAR INFORMACION;CLARIDAD INFORMACION;56
1-40636968613;DETRACTOR;Poderes Leasing;CLASICO;EL PODER SE PUEDA TRAMITAR DESDE LA PAGINA DE DAVIVIENDA;INCONFORMIDAD SERVICIO;56
1706736668875-68;DETRACTOR;Poderes Leasing;CLASICO;QUE AL MENOS ATIENDAN LOS REQUERIMIENTOS DE LOS CLIENTES;INCONFORMIDAD SERVICIO;56
CES-12128708;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL SERVICIO ES MUY MALA. QUIEN ATIENDEN SON DE MAL GENIO;INCONFORMIDAD SERVICIO;56
1-40827003226;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;LO QUE INDICAN AL INICIO ES DIFERENTE DURANTE EL PROCESO;CLARIDAD INFORMACION;56
CES-18598625;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME RESOLVIERON MI SOLICITUD...NO ENVIARON LO QUE PEDI;FALTA DE RESPUESTA;56
1721320637190-25;DETRACTOR;Certificaciones Especiales;CLASICO;DEFINITIVAMENTE MUY DIFICIL CONTAR CON UNA BUENA GESTION;INCONFORMIDAD SERVICIO;56
1-35545534326;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;la fecha noo de a me enviado credito han numero el nuevo;CLARIDAD INFORMACION;56
1-38565194938;DETRACTOR;Copia De Documentos Cartera;PREMIUM;no me ha documento el de leasing. llegado contrato copia;DEMORA TRAMITE;56
Pol-1107047210;DETRACTOR;Poderes Leasing Call Center;CLASICO;toco me llamar veces varias y volver hacer otro radicado;DEMORA TRAMITE;56
1696966209640-42;DETRACTOR;Certificaciones Especiales;CLASICO;mejorar comunicacion entre asesores para dar informacion;CLARIDAD INFORMACION;56
1-40827003226;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;que lo indican al inicio es diferente durante el proceso;CLARIDAD INFORMACION;56
CES-18598625;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;no pedi me mi solicitud...no enviaron lo que resolvieron;FALTA DE RESPUESTA;56
Ces-72178497;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No le dan veracidad en la informacion. Enganan al cliente;CLARIDAD INFORMACION;57
Ces-1067911606;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;No me resuelven mediante lo que les pido que me colaboren;INCONFORMIDAD SERVICIO;57
Pol-1107047210;DETRACTOR;Poderes Leasing Call Center;CLASICO;me toco llamar varias veces  y volver hacer otro radicado;DEMORA TRAMITE;57
1-35722819148;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;deben de ser muy claros con los tramites para los pocesos;CLARIDAD INFORMACION;57
CES-71379951;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL ASESOR MUY BIEN. EL BANCO LAMENTABLEMENTE ES MUY MALO.;INCONFORMIDAD SERVICIO;57
CES-79921664;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.YO POR ESO REPORTE TODO ESO ANTE EL DEFENSOR DEL CLIENTE;INCONFORMIDAD SERVICIO;57
Ces-72178497;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;veracidad le dan al no la informacion. enganan en cliente;CLARIDAD INFORMACION;57
1-35722819148;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;deben los ser muy claros con los tramites para pocesos de;CLARIDAD INFORMACION;57
1-32061900740;DETRACTOR;Copia De Documentos Cartera;CLASICO;Son el peor banco con la peor seguridad y el peor servicio;INCONFORMIDAD SERVICIO;58
Ces-16801785;DETRACTOR;Certificaciones Especiales;CLASICO;Las personas que atiendan por call Center no trabajan bien;INCONFORMIDAD SERVICIO;58
1-33204514968;DETRACTOR;Levantamiento De Hipoteca;CLASICO;El proceso estuvo bien hasta la generacion de la escritura;DEMORA TRAMITE;58
1679085139387-20;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Davivienda es lo peor que me ha pasado, hablando de bancos;INCONFORMIDAD SERVICIO;58
1-34778572163;DETRACTOR;Levantamiento De Hipoteca;CLASICO;no tengo mi escritura en fisico despues de pagar un dinero;ENTREGA DOCUMENTOS;58
CES-52291723;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL.SERVIVIO DEL PERSONAL DEL CALL CENTER ES MUY DEFICIENTE;INCONFORMIDAD SERVICIO;58
1-33204514968;DETRACTOR;Levantamiento De Hipoteca;CLASICO;de proceso estuvo bien escritura la generacion el la hasta;DEMORA TRAMITE;58
1-34778572163;DETRACTOR;Levantamiento De Hipoteca;CLASICO;no tengo mi escritura un fisico dinero en pagar de despues;ENTREGA DOCUMENTOS;58
Ces-52998475;DETRACTOR;Certificaciones Especiales;CLASICO;Muy insatisfecha con Davivienda, soy una muy buena cliente.;INCONFORMIDAD SERVICIO;59
CES-1017130565;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SER MAS CLAROS CON LA INFORMACION BRINDADA Y SER MAS AGILES;CLARIDAD INFORMACION;59
CES-98644489;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ME ENVIARON SOLO UNO DE LOS DOS DOCUMENTOS QUE LES SOLICITE;ENTREGA DOCUMENTOS;59
1688153584491-32;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;MEJORAR FACILIDAD DE CONSULTA CON ASESOR DURANTE EL PROCESO;CLARIDAD INFORMACION;59
1715181495324-42;DETRACTOR;Certificaciones Especiales;CLASICO;.2 MESES PARA TENER EL CERTIFICADO QUE SE DEMORABA 24 HORAS;DEMORA TRAMITE;59
1719242892733-10;DETRACTOR;Poderes Leasing;PREMIUM;ESTOY BUSCANDO LA COMPRA DE CARTERA, PARA PAGAR EL CREDITO.;OTRO;59
CES-1017130565;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;informacion mas claros y la con brindada ser ser mas agiles;CLARIDAD INFORMACION;59
CES-98644489;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;dos enviaron solo uno de documentos los me que les solicite;ENTREGA DOCUMENTOS;59
1688153584491-32;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;mejorar facilidad asesor consulta con el durante de proceso;CLARIDAD INFORMACION;59
1715181495324-42;DETRACTOR;Certificaciones Especiales;CLASICO;.2 tener horas meses el certificado que se demoraba 24 para;DEMORA TRAMITE;59
1684430245789-96;DETRACTOR;Poderes Leasing;PREMIUM;Pesimo banco arrepwntido totalmente de sacar mi credito alla;OTRO;60
Ces-51761801;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Davivienda abuso en cobros co. Productos no entregados nunca;OTRO;60
CES-1000832886;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO DAN INFORMACION DE NADA ,NO DECIA NADA , NO SALIA EL CUPO;OTRO;60
1698870796928-81;DETRACTOR;Poderes Leasing;CLASICO;MEJORAR LA COMUNICACION ,ES MUY DURO COMUNICARSE CON USTEDES;OTRO;60
CES-79531986;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;DEBEN RESOLVER EN LA LLAMADA , SON LENTOS NO SOLUCIONAN NADA;OTRO;60
1-39789122733;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;EL PROCESO SEA DE MANERA PERSONAL Y NO POR CORREO NI LLAMADA;INCONFORMIDAD SERVICIO;60
CES-1094946606;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO SIRVE LA APLICACION Y TAMPOCO ME SOLUCIONARON POR LLAMADA;OTRO;60
POL-1022350977;DETRACTOR;Poderes Leasing Call Center;CLASICO;NECESITO VER EL PRODUCTO EN MI APLICACION Y EN LA PAGINA WEB;OTRO;60
Pol-1018430783;DETRACTOR;Poderes Leasing;CLASICO;No saben de los procesos y no dan respuesta a las solicitudes;CLARIDAD INFORMACION;61
Ces-18590581;DETRACTOR;Certificaciones Especiales;PREMIUM;Es el unico que no negocio conmigo lo ultimo del credito 4212;OTRO;61
1689369992775-11;DETRACTOR;Certificaciones Especiales;CLASICO;.YO HICE LA SOLICITUD DE UNA CARTA Y NUNCA ME LLEGO AL CORREO;FALTA DE RESPUESTA;61
1-36496235699;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;no me fue muy bien con ellos, la informacion no fue muy clara;CLARIDAD INFORMACION;61
1690489813777-30;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);PREMIUM;Se toman 5 dias para revisar una caso de debito sin autorizar;OTRO;61
1-37507442717;DETRACTOR;Copia De Documentos Cartera;CLASICO;Un documento se demora un mes y no he podido hacer el tramite;DEMORA TRAMITE;61
Ces-1037577045;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Nunca recibi una respuesta a mi solicitud, sigo en las mismas;FALTA DE RESPUESTA;61
1704209308270-11;DETRACTOR;Levantamiento De Hipoteca;CLASICO;FALTA MAS CLARIDAD EN LOS PROCESOS Y EN LAS DUDAS DEL CLIENTE;CLARIDAD INFORMACION;61
1698356601665-53;DETRACTOR;Levantamiento De Hipoteca;CLASICO;MUY DEMORADO EL PROCESO Y LA COMUNICACION NO ES MUY ACERTIVA.;DEMORA TRAMITE;61
CES-79102756;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;MAL SERVICIO CALL CENTER, COMO PIDEN CLAVE SI NO TENGO CUENTA;INCONFORMIDAD SERVICIO;61
1716918859375-45;DETRACTOR;Certificaciones Especiales;CLASICO;EL PEOR BANCO DEL MUNDO, OJALA NADIE MAS CAIGA EN SUS ENGAÑOS;INCONFORMIDAD SERVICIO;61
1689369992775-11;DETRACTOR;Certificaciones Especiales;CLASICO;carta hice la solicitud nunca una de correo y me llego al .yo;FALTA DE RESPUESTA;61
1-36496235699;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;no no informacion muy bien fue ellos, la con me fue muy clara;CLARIDAD INFORMACION;61
1-37507442717;DETRACTOR;Copia De Documentos Cartera;CLASICO;un documento hacer demora no el y se he podido un mes tramite;DEMORA TRAMITE;61
Ces-1037577045;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;solicitud, recibi una las a mi sigo respuesta en nunca mismas;FALTA DE RESPUESTA;61
1704209308270-11;DETRACTOR;Levantamiento De Hipoteca;CLASICO;falta mas del en los procesos dudas en las y claridad cliente;CLARIDAD INFORMACION;61
1698356601665-53;DETRACTOR;Levantamiento De Hipoteca;CLASICO;acertiva. no el proceso y demorado comunicacion muy es muy la;DEMORA TRAMITE;61
Ces-1098313342;DETRACTOR;Certificaciones Especiales;CLASICO;Que deberia tener lineas mas eficientes de atencion al cliente;OTRO;62
1-33294021225;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;.DEBEN SER MUCHO MAS CLAROS EN EL LEVANTAMIENTO DE LA HIPOTECA;CLARIDAD INFORMACION;62
1684858840406-69;DETRACTOR;Levantamiento Prenda Vehiculo;INCLUSION;no es claro el proceso es muy engorroso solicitar un documento;CLARIDAD INFORMACION;62
Ces-80116829;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Deben mejorar el servicio al cliente y los canales de atencion;INCONFORMIDAD SERVICIO;62
1689022495009-55;DETRACTOR;Poderes Leasing;PREMIUM;Pedi un tabla de proyecion de mi leasing y nada..que lo envian;ENTREGA DOCUMENTOS;62
1689962019113-63;DETRACTOR;Poderes Leasing;CLASICO;Muy dificil para que le den a uno una clave virtual para pagar;OTRO;62
Ces-1036598727;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Solicite certificado de paz y salvo y nunca me llego al correo;ENTREGA DOCUMENTOS;62
1707153058353-64;DETRACTOR;Certificaciones Especiales;PREMIUM;QUE SE DEMORARON MUCHO ME DIJERON QUE DOS DIAS VAN DOS SEMANAS;DEMORA TRAMITE;62
CES-79627736;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO RESOLVIERON LA QUEJA, NO CONOCIAN EL TEMA, MUY INSATISFECHO;INCONFORMIDAD SERVICIO;62
CES-1045679429;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM PLUS;LLEVO UNA SEMANA PIDIENDO UN TRAMITE Y NO ME HAN RESUELTO NADA;FALTA DE RESPUESTA;62
1-41868296088;DETRACTOR;Copia De Documentos Cartera;CLASICO;NO ME DIERON RESPUESTA A LA SOLICITUD, IGNORARON MI SOLICITUD.;INCONFORMIDAD SERVICIO;62
1-38705226257;DETRACTOR;Perfeccionamiento De Leasing;BANCA PRIVADA;NO TODOS SOMOS TAN PREPARADOS PARA TENER SOLO ATENCION VIRTUAL;INCONFORMIDAD SERVICIO;62
1-45419131058;DETRACTOR;Cambio De Condiciones(Cambio De Garantia);PREMIUM;EL SERVICIO EN TODO SENTIDO ES MALO APARTE LAS TASAS SON ALTAS;OTRO;62
1-33294021225;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;mucho ser de mas claros en el hipoteca levantamiento la .deben;CLARIDAD INFORMACION;62
1684858840406-69;DETRACTOR;Levantamiento Prenda Vehiculo;INCLUSION;no es claro solicitar proceso es muy engorroso el un documento;CLARIDAD INFORMACION;62
1689022495009-55;DETRACTOR;Poderes Leasing;PREMIUM;un de lo de tabla proyecion mi leasing y nada..que pedi envian;ENTREGA DOCUMENTOS;62
Ces-1036598727;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;y al de paz nunca salvo y solicite me llego certificado correo;ENTREGA DOCUMENTOS;62
1707153058353-64;DETRACTOR;Certificaciones Especiales;PREMIUM;que dijeron demoraron se me mucho van dos dias que dos semanas;DEMORA TRAMITE;62
